sample_id,group,celltype_manual,n_cells,proportion
AP-300,APAP,Activated neutrophil,48,0.009259259259259259
AP-300,APAP,B cell,421,0.08121141975308642
AP-300,APAP,B cell / possible doublet,9,0.001736111111111111
AP-300,APAP,Cholangiocyte / epithelial,570,0.1099537037037037
AP-300,APAP,Cycling cell,337,0.06500771604938271
AP-300,APAP,Cytotoxic T / NK-like,231,0.04456018518518518
AP-300,APAP,Endothelial,223,0.04301697530864197
AP-300,APAP,Fibroblast / stellate,61,0.011766975308641976
AP-300,APAP,Hepatocyte contamination,162,0.03125
AP-300,APAP,Inflammatory neutrophil,171,0.03298611111111111
AP-300,APAP,Kupffer cell,204,0.03935185185185185
AP-300,APAP,Low-quality / mixed,75,0.014467592592592593
AP-300,APAP,Mast / basophil-like,57,0.01099537037037037
AP-300,APAP,Mesothelial,167,0.032214506172839504
AP-300,APAP,Monocyte-derived macrophage / DC-like,601,0.11593364197530864
AP-300,APAP,NK cell,198,0.03819444444444445
AP-300,APAP,Neutrophil,100,0.019290123456790122
AP-300,APAP,Plasma cell,123,0.023726851851851853
AP-300,APAP,T cell,806,0.1554783950617284
AP-300,APAP,VSMC / pericyte,44,0.008487654320987654
AP-300,APAP,cDC1,234,0.04513888888888889
AP-300,APAP,pDC-like,342,0.06597222222222222
AP-300-2,APAP,Activated neutrophil,305,0.013636770097469372
AP-300-2,APAP,B cell,4908,0.2194402217651793
AP-300-2,APAP,B cell / possible doublet,105,0.004694625771259948
AP-300-2,APAP,Cholangiocyte / epithelial,811,0.03626039524277922
AP-300-2,APAP,Cycling cell,465,0.020790485558436912
AP-300-2,APAP,Cytotoxic T / NK-like,690,0.030850397925422518
AP-300-2,APAP,Endothelial,618,0.027631225967987123
AP-300-2,APAP,Fibroblast / stellate,46,0.0020566931950281677
AP-300-2,APAP,Hepatocyte contamination,619,0.02767593668961817
AP-300-2,APAP,Inflammatory neutrophil,3206,0.14334257354913707
AP-300-2,APAP,Kupffer cell,225,0.010059912366985602
AP-300-2,APAP,Low-quality / mixed,528,0.02360726102119288
AP-300-2,APAP,Mast / basophil-like,98,0.004381650719842619
AP-300-2,APAP,Mesothelial,425,0.01900205669319503
AP-300-2,APAP,Monocyte-derived macrophage / DC-like,850,0.03800411338639006
AP-300-2,APAP,NK cell,1771,0.07918268800858445
AP-300-2,APAP,Neutrophil,196,0.008763301439685237
AP-300-2,APAP,Plasma cell,139,0.00621479030671555
AP-300-2,APAP,T cell,5229,0.23379236340874543
AP-300-2,APAP,VSMC / pericyte,118,0.005275865152463561
AP-300-2,APAP,cDC1,362,0.01618528123043906
AP-300-2,APAP,pDC-like,652,0.029151390503442724
AP-300-3,APAP,Activated neutrophil,130,0.006662566625666257
AP-300-3,APAP,B cell,4012,0.2056170561705617
AP-300-3,APAP,B cell / possible doublet,38,0.001947519475194752
AP-300-3,APAP,Cholangiocyte / epithelial,1543,0.07907954079540795
AP-300-3,APAP,Cycling cell,378,0.01937269372693727
AP-300-3,APAP,Cytotoxic T / NK-like,540,0.027675276752767528
AP-300-3,APAP,Endothelial,826,0.042332923329233295
AP-300-3,APAP,Fibroblast / stellate,64,0.003280032800328003
AP-300-3,APAP,Hepatocyte contamination,272,0.013940139401394014
AP-300-3,APAP,Inflammatory neutrophil,2288,0.11726117261172611
AP-300-3,APAP,Kupffer cell,347,0.01778392783927839
AP-300-3,APAP,Low-quality / mixed,1660,0.08507585075850758
AP-300-3,APAP,Mast / basophil-like,35,0.0017937679376793768
AP-300-3,APAP,Mesothelial,878,0.044997949979499796
AP-300-3,APAP,Monocyte-derived macrophage / DC-like,606,0.03105781057810578
AP-300-3,APAP,NK cell,1186,0.06078310783107831
AP-300-3,APAP,Neutrophil,166,0.008507585075850758
AP-300-3,APAP,Plasma cell,166,0.008507585075850758
AP-300-3,APAP,T cell,3595,0.18424559245592456
AP-300-3,APAP,VSMC / pericyte,92,0.004715047150471505
AP-300-3,APAP,cDC1,233,0.011941369413694137
AP-300-3,APAP,pDC-like,457,0.023421484214842147
con1,Control,Activated neutrophil,39,0.008135168961201502
con1,Control,B cell,760,0.15853149770546515
con1,Control,B cell / possible doublet,8,0.001668752607425949
con1,Control,Cholangiocyte / epithelial,251,0.05235711305798915
con1,Control,Cycling cell,182,0.03796412181894034
con1,Control,Cytotoxic T / NK-like,215,0.04484772632457238
con1,Control,Endothelial,66,0.01376720901126408
con1,Control,Fibroblast / stellate,19,0.003963287442636629
con1,Control,Hepatocyte contamination,90,0.01877346683354193
con1,Control,Inflammatory neutrophil,106,0.022110972048393827
con1,Control,Kupffer cell,61,0.012724238631622862
con1,Control,Low-quality / mixed,135,0.028160200250312892
con1,Control,Mast / basophil-like,35,0.0073007926574885276
con1,Control,Mesothelial,132,0.02753441802252816
con1,Control,Monocyte-derived macrophage / DC-like,258,0.05381727158948686
con1,Control,NK cell,265,0.055277430120984565
con1,Control,Neutrophil,32,0.006675010429703796
con1,Control,Plasma cell,150,0.03128911138923655
con1,Control,T cell,1661,0.34647476011681266
con1,Control,VSMC / pericyte,83,0.017313308302044222
con1,Control,cDC1,102,0.02127659574468085
con1,Control,pDC-like,144,0.030037546933667083
con2,Control,Activated neutrophil,49,0.0024825210254331748
con2,Control,B cell,5039,0.25529435606444423
con2,Control,B cell / possible doublet,196,0.0099300841017326991
con2,Control,Cholangiocyte / epithelial,751,0.03804843449184315
con2,Control,Cycling cell,382,0.019353531259499443
con2,Control,Cytotoxic T / NK-like,523,0.026497112169419395
con2,Control,Endothelial,864,0.043773431958658425
con2,Control,Fibroblast / stellate,65,0.003293140135778701
con2,Control,Hepatocyte contamination,2037,0.10320194548586482
con2,Control,Inflammatory neutrophil,906,0.04590130712331543
con2,Control,Kupffer cell,301,0.015249772013375216
con2,Control,Low-quality / mixed,1306,0.06616678488195359
con2,Control,Mast / basophil-like,33,0.0016719019150876482
con2,Control,Mesothelial,488,0.024723882865538557
con2,Control,Monocyte-derived macrophage / DC-like,623,0.03156348160907894
con2,Control,NK cell,1000,0.0506636943965954
con2,Control,Neutrophil,63,0.0031918127469855104
con2,Control,Plasma cell,197,0.009980747796129294
con2,Control,T cell,4165,0.21101428716181983
con2,Control,VSMC / pericyte,92,0.004661059884486777
con2,Control,cDC1,224,0.01134866754483737
con2,Control,pDC-like,434,0.021988043368122403
con3,Control,Activated neutrophil,25,0.0015182800923114297
con3,Control,B cell,1634,0.09923478683347504
con3,Control,B cell / possible doublet,78,0.004737033888011661
con3,Control,Cholangiocyte / epithelial,1591,0.09662334507469938
con3,Control,Cycling cell,140,0.008502368516944006
con3,Control,Cytotoxic T / NK-like,426,0.02587149277298676
con3,Control,Endothelial,2578,0.15656504311915462
con3,Control,Fibroblast / stellate,42,0.002550710555083202
con3,Control,Hepatocyte contamination,2035,0.12358799951415037
con3,Control,Inflammatory neutrophil,931,0.05654075063767764
con3,Control,Kupffer cell,363,0.02204542694036196
con3,Control,Low-quality / mixed,1127,0.06844406656139924
con3,Control,Mast / basophil-like,22,0.001336086481234058
con3,Control,Mesothelial,625,0.03795700230778574
con3,Control,Monocyte-derived macrophage / DC-like,328,0.019919834811125955
con3,Control,NK cell,849,0.05156079193489615
con3,Control,Neutrophil,28,0.001700473703388801
con3,Control,Plasma cell,171,0.01038503583141018
con3,Control,T cell,2842,0.1725980808939633
con3,Control,VSMC / pericyte,96,0.0058301955544758895
con3,Control,cDC1,127,0.007712862868942062
con3,Control,pDC-like,408,0.02477833110652253
