sample_id,group,myeloid_clusters,n_cells
AP-300,APAP,0,26
AP-300,APAP,1,201
AP-300,APAP,2,216
AP-300,APAP,3,250
AP-300,APAP,4,121
AP-300,APAP,5,55
AP-300,APAP,6,100
AP-300,APAP,7,96
AP-300,APAP,8,3
AP-300,APAP,9,6
AP-300,APAP,10,1
AP-300,APAP,11,3
AP-300,APAP,12,24
AP-300,APAP,13,14
AP-300,APAP,14,6
AP-300,APAP,15,2
AP-300-2,APAP,0,1962
AP-300-2,APAP,1,222
AP-300-2,APAP,2,321
AP-300-2,APAP,3,331
AP-300-2,APAP,4,493
AP-300-2,APAP,5,308
AP-300-2,APAP,6,210
AP-300-2,APAP,7,129
AP-300-2,APAP,8,173
AP-300-2,APAP,9,177
AP-300-2,APAP,10,163
AP-300-2,APAP,11,194
AP-300-2,APAP,12,55
AP-300-2,APAP,13,31
AP-300-2,APAP,14,10
AP-300-2,APAP,15,3
AP-300-3,APAP,0,1737
AP-300-3,APAP,1,316
AP-300-3,APAP,2,232
AP-300-3,APAP,3,248
AP-300-3,APAP,4,267
AP-300-3,APAP,5,160
AP-300-3,APAP,6,125
AP-300-3,APAP,7,82
AP-300-3,APAP,8,157
AP-300-3,APAP,9,33
AP-300-3,APAP,10,108
AP-300-3,APAP,11,11
AP-300-3,APAP,12,27
AP-300-3,APAP,13,18
AP-300-3,APAP,14,12
AP-300-3,APAP,15,4
con1,Control,0,16
con1,Control,1,57
con1,Control,2,106
con1,Control,3,95
con1,Control,4,69
con1,Control,5,39
con1,Control,6,36
con1,Control,7,45
con1,Control,8,3
con1,Control,9,1
con1,Control,10,3
con1,Control,11,11
con1,Control,12,7
con1,Control,13,4
con1,Control,14,3
con1,Control,15,1
con2,Control,0,575
con2,Control,1,274
con2,Control,2,280
con2,Control,3,200
con2,Control,4,95
con2,Control,5,58
con2,Control,6,47
con2,Control,7,101
con2,Control,8,70
con2,Control,9,102
con2,Control,10,56
con2,Control,11,29
con2,Control,12,30
con2,Control,13,15
con2,Control,14,4
con2,Control,15,6
con3,Control,0,639
con3,Control,1,350
con3,Control,2,127
con3,Control,3,140
con3,Control,4,61
con3,Control,5,27
con3,Control,6,29
con3,Control,7,32
con3,Control,8,62
con3,Control,9,131
con3,Control,10,40
con3,Control,11,5
con3,Control,12,18
con3,Control,13,6
con3,Control,14,6
con3,Control,15,2
