"parameter","value"
"analysis_type","targeted exploratory (manual LR scoring)"
"scoring_method","mean(L_expr_in_src) * mean(R_expr_in_tgt)"
"lr_database","CellChatDB.mouse"
"targeted_axes_n","11"
"max_cells_per_group_celltype","500"
"n_control","3"
"n_apap","3"
"genes_overlap_db","895"
"n_lr_pairs_control","9432"
"n_lr_pairs_apap","9421"
"n_lr_pairs_compared","1704"
"n_strong_delta","238"
"files_written","targeted_lr_pairs_control.csv; targeted_lr_pairs_apap.csv; targeted_lr_pairs_apap_vs_control.csv; targeted_pathway_summary.csv; stage5_decision_summary.csv; targeted_bubble_control.pdf; targeted_bubble_apap.pdf; targeted_interaction_delta_summary.pdf"
"note_1","Stage 5 is a targeted exploratory analysis, not a full CellChat discovery."
"note_2","Method: manual LR scoring = mean(logNormExpr[L] in source) * mean(logNormExpr[R] in target)"
"note_3","LR database: CellChatDB.mouse (Secreted Signaling + Cell-Cell Contact)"
"note_4","Number of targeted source->target axes: 11"
"note_5","Max cells per group x celltype: 500"
"note_6","Sample size: 3 Control vs 3 APAP"
"note_7","All results are weak supplementary evidence only."
"note_8","No full CellChat objects are saved."
"note_9","Genes overlapping with CellChatDB: 895"
"note_10","LR pairs scored (Control): 9432"
"note_11","LR pairs scored (APAP): 9421"
"note_12","LR pairs with |delta| > 0.1: 238"
"note_13","238 LR pairs show noticeable APAP vs Control difference (|delta| > 0.1)."
"note_14","Due to n=3 and manual scoring, these are hypotheses, not findings."
"note_15","Top altered axes:"
"note_16","   Fibroblast / stellate -> Endothelial | App - Cd74  delta: 1.362"
"note_17","   Fibroblast / stellate -> Kupffer cell | App - Cd74  delta: 1.274"
"note_18","   Kupffer cell -> Inflammatory neutrophil | Cxcl2 - Cxcr2  delta: 1.135"
"note_19","   Kupffer cell -> Inflammatory neutrophil | Ccl6 - Ccr1  delta: 1.033"
"note_20","   Inflammatory neutrophil -> Endothelial | Thbs1 - Cd47  delta: 1.024"
